,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,default
0,126,10,0.686841901,1100,3,13699,7201.0,4949.0,126.75,126.03,7,0.7607,0.7542,612922,0.7236,0.7236,0.5171,0.7236,0.8476,0.7876,1097850600.0,89,66,998046.0,89.0,89.0,89.0,89.0,89.0,0.9271,0,0,0,5,0,0,0.7318,0.72124,0.74928,5.0,0.026826,1.037424,0.8338,0.84284,0.82592,5.0,0.7571,0.75878,0.76782,5.0,0
1,121,10,0.782775931,1100,3,84645,240.0,1625.0,123.52,121.35,7,0.6555,0.6555,245815,0.6341,0.6341,0.3909,0.6667,0.6903,0.6903,844945920.0,78,50,754416.0,78.0,78.0,78.0,78.0,78.0,0.8478,0,0,0,6,0,0,0.65705,0.64069,0.6262,6.0,0.107658,-0.915138,0.72515,0.70127,0.687067,6.0,0.67775,0.66995,0.64205,6.0,0
2,126,10,0.500079985,1100,3,83607,1800.0,1527.0,127.76,126.49,7,0.7542,0.7542,1385872,0.7542,0.7542,0.5508,0.7542,0.8091,0.7807,1308477911.0,89,54,1037651.0,89.0,89.0,100.43,94.37,89.0,0.9175,0,0,0,13,0,0,0.7471,0.75878,0.654685,13.0,0.208224,-1.332533,0.80455,0.80819,0.709346,13.0,0.7471,0.75878,0.656654,13.0,0
3,134,10,0.439874254,1100,3,82642,7542.0,1730.0,132.94,133.58,7,0.8017,0.7881,704687,0.7881,0.7881,0.5923,0.7881,0.823,0.8158,1472751720.0,93,55,1115721.0,93.0,93.0,114.63,102.92,93.0,0.9688,0,0,0,4,0,0,0.77405,0.78929,0.750675,4.0,0.043725,-0.947279,0.8115,0.8207,0.8009,4.0,0.77405,0.78929,0.761825,4.0,0
4,109,9,0.502748934,2900,4,79124,89.0,491.0,122.72,112.77,6,0.5263,0.5263,51985,0.5263,0.5263,0.3044,0.5405,0.5556,0.5455,1442916000.0,60,21,536400.0,60.0,60.0,60.0,60.0,60.0,0.8451,0,0,0,26,0,0,0.60315,0.53367,0.69615,26.0,0.062251,-0.950251,0.7178,0.59004,0.810285,26.0,0.61315,0.53367,0.715869,26.0,0
5,126,9,0.691953881,2900,4,14448,1514.0,4176.0,127.74,126.23,6,0.807,0.748,764587,0.7541,0.7077,0.5212,0.7863,0.8598,0.8,2777817088.0,92,64,1083392.0,92.0,92.0,113.4,101.82,92.0,0.9293,0,0,0,22,0,0,0.78385,0.72693,0.737486,22.0,0.094485,-0.56462,0.8799,0.86382,0.812105,22.0,0.804,0.7632,0.746505,22.0,0
6,121,9,0.985673501,2900,4,13026,4565.0,263.0,126.36,122.09,6,0.7739,0.7739,542244,0.7739,0.7417,0.5378,0.8091,0.8165,0.8165,3193176888.0,89,64,1045572.0,89.0,89.0,89.0,89.0,89.0,0.9674,0,0,0,23,0,0,0.79085,0.74753,0.771352,23.0,0.061561,-0.249323,0.87825,0.82485,0.878952,23.0,0.80695,0.78651,0.787239,23.0,0
7,128,9,0.385777727,2900,4,79244,6597.0,3592.0,127.19,127.89,6,0.8596,0.7967,17175731,0.8033,0.7538,0.5868,0.8376,0.9159,0.8522,3127331312.0,98,75,1219708.0,98.0,98.0,120.79,108.46,98.0,0.9899,0,0,0,17,0,0,0.7269,0.73842,0.739165,17.0,0.092005,-0.928703,0.83795,0.89431,0.820518,17.0,0.74835,0.77703,0.757388,17.0,1
8,126,9,0.745471218,2900,4,78920,3058.0,112.0,123.89,125.53,6,0.8684,0.8049,1560191,0.8115,0.7615,0.5705,0.8462,0.9252,0.8609,3040701444.0,99,72,1185921.0,99.0,99.0,122.03,109.56,99.0,1.0,0,0,0,7,0,0,0.76075,0.76535,0.657429,7.0,0.277441,-1.211526,0.8926,0.92268,0.741457,7.0,0.80245,0.80441,0.680543,7.0,0
9,127,9,0.580560874,2900,4,83442,684.0,1141.0,127.0,127.39,6,0.8534,0.8534,339011,0.839,0.839,0.6883,0.839,0.8919,0.8919,3130831440.0,99,66,1293732.0,99.0,99.0,138.55,116.52,99.0,0.9612,0,0,0,5,0,0,0.7995,0.8251,0.77922,5.0,0.03544,0.911271,0.86595,0.88271,0.84796,5.0,0.8267,0.84806,0.80986,5.0,0
